Tiềnvào(VND),Tiềnra(VND),Sốdư,Chúthích
0,1,407108, 
0,1,407107, 
0,1,407106, 
0,1,407105, 
0,1,407104, 
0,1,407103, 
0,1,407102, 
0,1,407101, 
0,1,407100, 
0,1,407099, 
0,1,407098, 
0,1,407097, 
0,1,407096, 
0,1,407095, 
0,1,407094, 
0,1,407093, 
0,1,407092, 
0,1,407091, 
0,1,407090, 
0,1,407089, 
0,1,407088, 
0,1,407087, 
0,1,407086, 
0,1,407085, 
0,1,407084, 
0,1,407083, 
0,1,407082, 
0,1,407081, 
0,1,407080, 
0,1,407079, 
0,1,407078, 
0,1,407077, 
0,1,407076, 
0,1,407075, 
0,1,407074, 
0,1,407073, 
0,1,407072, 
0,1,407071, 
0,1,407070, 
0,1,407069, 
0,1,407068, 
0,1,407067, 
0,1,407066, 
0,1,407065, 
0,1,407064, 
0,1,407063, 
0,1,407062, 
0,1,407061, 
0,1,407060, 
0,1,407059, 
0,1,407058, 
0,1,407057, 
0,1,407056, 
0,1,407055, 
0,1,407054, 
0,1,407053, 
0,1,407052, 
0,1,407051, 
0,1,407050, 
0,1,407049, 
0,1,407048, 
0,1,407047, 
0,1,407046, 
0,1,407045, 
0,1,407044, 
0,1,407043, 
0,1,407042, 
0,1,407041, 
0,1,407040, 
0,1,407039, 
0,1,407038, 
0,1,407037, 
0,1,407036, 
0,1,407035, 
0,1,407034, 
0,1,407033, 
0,1,407032, 
0,1,407031, 
0,1,407030, 
0,1,407029, 
0,1,407028, 
0,1,407027, 
0,1,407026, 
0,1,407025, 
0,1,407024, 
0,1,407023, 
0,1,407022, 
0,1,407021, 
0,1,407020, 
0,1,407019, 
0,1,407018, 
0,1,407017, 
0,1,407016, 
0,1,407015, 
0,1,407014, 
0,1,407013, 
0,1,407012, 
0,1,407011, 
0,1,407010, 
0,1,407009, 
0,1,407008, 
0,1,407007, 
0,1,407006, 
0,1,407005, 
0,1,407004, 
0,1,407003, 
0,1,407002, 
0,1,407001, 
0,1,406991, 
0,1,407000, 
0,1,406999, 
0,1,406998, 
0,1,406996, 
0,1,406995, 
0,1,406990, 
0,1,406997, 
0,1,406992, 
0,1,406993, 
0,1,406994, 
0,1,406989, 
0,1,406988, 
0,1,406987, 
0,1,406986, 
0,1,406983, 
0,1,406985, 
0,1,406984, 
0,1,406982, 
0,1,406981, 
0,1,406980, 
0,1,406979, 
0,1,406978, 
0,1,406971, 
0,1,406977, 
0,1,406973, 
0,1,406962, 
0,1,406972, 
0,1,406976, 
0,1,406974, 
0,1,406975, 
0,1,406961, 
0,1,406959, 
0,1,406967, 
0,1,406966, 
0,1,406970, 
0,1,406969, 
0,1,406968, 
0,1,406965, 
0,1,406958, 
0,1,406963, 
0,1,406964, 
0,1,406960, 
0,1,406957, 
0,1,406956, 
0,1,406955, 
0,1,406954, 
0,1,406953, 
0,1,406952, 
0,1,406947, 
0,1,406946, 
0,1,406949, 
0,1,406948, 
0,1,406951, 
0,1,406950, 
0,1,406943, 
0,1,406942, 
0,1,406945, 
0,1,406939, 
0,1,406944, 
0,1,406941, 
0,1,406940, 
0,1,406938, 
0,1,406932, 
0,1,406931, 
0,1,406937, 
0,1,406936, 
0,1,406934, 
0,1,406935, 
0,1,406933, 
0,1,406927, 
0,1,406930, 
0,1,406928, 
0,1,406929, 
0,1,406926, 
0,1,406925, 
0,1,406924, 
0,1,406923, 
0,1,406922, 
0,1,406921, 
0,1,406920, 
0,1,406919, 
0,1,406918, 
0,1,406917, 
0,1,406916, 
0,1,406915, 
0,1,406913, 
0,1,406914, 
0,1,406909, 
0,1,406911, 
0,1,406912, 
0,1,406910, 
0,1,406908, 
0,1,406907, 
0,1,406906, 
0,1,406905, 
0,1,406904, 
0,1,406903, 
0,1,406902, 
0,1,406901, 
0,1,406900, 
0,1,406899, 
0,1,406898, 
0,1,406897, 
0,1,406896, 
0,1,406895, 
0,1,406894, 
0,1,406893, 
0,1,406892, 
0,1,406891, 
0,1,406890, 
0,1,406889, 
0,1,406887, 
0,1,406888, 
0,1,406886, 
0,1,406885, 
0,1,406884, 
0,1,406883, 
0,1,406882, 
0,1,406881, 
0,1,406880, 
0,1,406879, 
0,1,406878, 
0,1,406877, 
0,1,406876, 
0,1,406875, 
0,1,406874, 
0,1,406873, 
0,1,406872, 
0,1,406871, 
0,1,406870, 
0,1,406869, 
0,1,406868, 
0,1,406867, 
0,1,406866, 
0,1,406865, 
0,1,406864, 
0,1,406863, 
0,1,406862, 
0,1,406861, 
0,1,406860, 
0,1,406859, 
0,1,406858, 
0,1,406857, 
0,1,406856, 
0,1,406855, 
0,1,406854, 
0,1,406853, 
0,1,406852, 
0,1,406851, 
0,1,406850, 
0,1,406849, 
0,1,406848, 
0,1,406847, 
0,1,406846, 
0,1,406845, 
0,1,406844, 
0,1,406843, 
0,1,406841, 
0,1,406842, 
0,1,406840, 
0,1,406839, 
0,1,406838, 
0,1,406837, 
0,1,406836, 
0,1,406835, 
0,1,406833, 
0,1,406834, 
0,1,406832, 
0,1,406829, 
0,1,406831, 
0,1,406830, 
0,1,406828, 
0,1,406827, 
0,1,406826, 
0,1,406825, 
0,1,406824, 
0,1,406823, 
0,1,406822, 
0,1,406821, 
0,1,406820, 
0,1,406819, 
0,1,406818, 
0,1,406817, 
0,1,406816, 
0,1,406815, 
0,1,406814, 
0,1,406813, 
0,1,406812, 
0,1,406811, 
0,1,406810, 
0,1,406809, 
0,1,406808, 
0,1,406807, 
0,1,406806, 
0,1,406805, 
0,1,406804, 
0,1,406803, 
0,1,406802, 
0,1,406801, 
0,1,406800, 
0,1,406799, 
0,1,406798, 
0,1,406797, 
0,1,406796, 
0,1,406795, 
0,1,406794, 
0,1,406793, 
0,1,406792, 
0,1,406791, 
0,1,406790, 
0,1,406789, 
0,1,406788, 
0,1,406787, 
0,1,406786, 
0,1,406785, 
0,1,406784, 
0,1,406783, 
0,1,406782, 
0,1,406781, 
0,1,406780, 
0,1,406779, 
0,1,406778, 
0,1,406777, 
0,1,406776, 
0,1,406775, 
0,1,406774, 
0,1,406773, 
0,1,406772, 
0,1,406771, 
0,1,406770, 
0,1,406769, 
0,1,406768, 
0,1,406767, 
0,1,406766, 
0,1,406765, 
0,1,406764, 
0,1,406763, 
0,1,406762, 
0,1,406760, 
0,1,406761, 
0,1,406759, 
0,1,406757, 
0,1,406758, 
0,1,406756, 
0,1,406755, 
0,1,406754, 
0,1,406753, 
0,1,406752, 
0,1,406751, 
0,1,406750, 
0,1,406749, 
0,1,406746, 
0,1,406748, 
0,1,406747, 
0,1,406745, 
0,1,406744, 
0,1,406743, 
0,1,406742, 
0,1,406741, 
0,1,406740, 
0,1,406735, 
0,1,406739, 
0,1,406738, 
0,1,406737, 
0,1,406736, 
0,1,406734, 
0,1,406733, 
0,1,406732, 
0,1,406731, 
0,1,406730, 
0,1,406729, 
0,1,406728, 
0,1,406727, 
0,1,406726, 
0,1,406725, 
0,1,406724, 
0,1,406723, 
0,1,406722, 
0,1,406721, 
0,1,406720, 
0,1,406719, 
0,1,406718, 
0,1,406717, 
0,1,406716, 
0,1,406715, 
0,1,406714, 
0,1,406713, 
0,1,406712, 
0,1,406711, 
0,1,406710, 
0,1,406709, 
0,1,406708, 
0,1,406707, 
0,1,406706, 
0,1,406705, 
0,1,406704, 
0,1,406703, 
0,1,406702, 
0,1,406701, 
0,1,406699, 
0,1,406700, 
0,1,406698, 
0,1,406697, 
0,1,406696, 
0,1,406695, 
0,1,406694, 
0,1,406693, 
0,1,406692, 
0,1,406691, 
0,1,406690, 
0,1,406689, 
0,1,406688, 
0,1,406687, 
0,1,406686, 
0,1,406685, 
0,1,406684, 
0,1,406683, 
0,1,406682, 
0,1,406681, 
0,1,406680, 
0,1,406679, 
0,1,406678, 
0,1,406677, 
0,1,406676, 
0,1,406675, 
0,1,406674, 
0,1,406672, 
0,1,406673, 
0,1,406671, 
0,1,406670, 
0,1,406669, 
0,1,406668, 
0,1,406667, 
0,1,406666, 
0,1,406665, 
0,1,406664, 
0,1,406663, 
0,1,406662, 
0,1,406661, 
0,1,406660, 
0,1,406659, 
0,1,406658, 
0,1,406657, 
0,1,406656, 
0,1,406655, 
0,1,406654, 
0,1,406653, 
0,1,406652, 
0,1,406651, 
0,1,406650, 
0,1,406649, 
0,1,406648, 
0,1,406647, 
0,1,406646, 
0,1,406645, 
0,1,406644, 
0,1,406643, 
0,1,406642, 
0,1,406641, 
0,1,406640, 
0,1,406639, 
0,1,406638, 
0,1,406637, 
0,1,406636, 
0,1,406635, 
0,1,406634, 
0,1,406633, 
0,1,406632, 
0,1,406631, 
0,1,406630, 
0,1,406629, 
0,1,406628, 
0,1,406627, 
0,1,406626, 
0,1,406625, 
0,1,406624, 
0,1,406623, 
0,1,406622, 
0,1,406621, 
0,1,406620, 
0,1,406619, 
0,1,406618, 
0,1,406617, 
0,1,406616, 
0,1,406615, 
0,1,406614, 
0,1,406613, 
0,1,406612, 
0,1,406611, 
0,1,406610, 
0,1,406609, 
0,1,406608, 
0,1,406607, 
0,1,406606, 
0,1,406605, 
0,1,406604, 
0,1,406603, 
0,1,406602, 
0,1,406601, 
0,1,406600, 
0,1,406599, 
0,1,406598, 
0,1,406597, 
0,1,406596, 
0,1,406595, 
0,1,406594, 
0,1,406593, 
0,1,406592, 
0,1,406591, 
0,1,406590, 
0,1,406587, 
0,1,406589, 
0,1,406588, 
0,1,406586, 
0,1,406585, 
0,1,406584, 
0,1,406582, 
0,1,406583, 
0,1,406581, 
0,1,406580, 
0,1,406579, 
0,1,406578, 
0,1,406576, 
0,1,406577, 
0,1,406575, 
0,1,406574, 
0,1,406573, 
0,1,406572, 
0,1,406570, 
0,1,406571, 
0,1,406569, 
0,1,406568, 
0,1,406567, 
0,1,406566, 
0,1,406564, 
0,1,406565, 
0,1,406563, 
0,1,406561, 
0,1,406562, 
0,1,406559, 
0,1,406560, 
0,1,406557, 
0,1,406558, 
0,1,406553, 
0,1,406555, 
0,1,406554, 
0,1,406556, 
0,1,406552, 
0,1,406551, 
0,1,406546, 
0,1,406550, 
0,1,406549, 
0,1,406548, 
0,1,406547, 
0,1,406537, 
0,1,406545, 
0,1,406544, 
0,1,406543, 
0,1,406539, 
0,1,406542, 
0,1,406541, 
0,1,406538, 
0,1,406540, 
0,1,406535, 
0,1,406536, 
0,1,406534, 
0,1,406528, 
0,1,406533, 
0,1,406530, 
0,1,406529, 
0,1,406531, 
0,1,406532, 
0,1,406526, 
0,1,406523, 
0,1,406525, 
0,1,406527, 
0,1,406522, 
0,1,406524, 
0,1,406521, 
0,1,406520, 
0,1,406519, 
0,1,406518, 
0,1,406513, 
0,1,406514, 
0,1,406515, 
0,1,406517, 
0,1,406516, 
0,1,406512, 
